download_time,name,source_format,url,event_uuid,data_type,data_size,threat_level,event_date
2025-12-25T01:14:25.455132,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/e9e7fe16-3027-4cbe-9a2b-23b816ae73e2.json,e9e7fe16-3027-4cbe-9a2b-23b816ae73e2,json,354,2,2025-12-25T00:03:09
2025-12-25T01:14:25.666967,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/d29c1bba-adea-48df-a88e-84601013b4d6.json,d29c1bba-adea-48df-a88e-84601013b4d6,json,1794,2,2025-12-25T00:15:23
2025-12-25T01:14:32.968232,Phishtank,csv,https://data.phishtank.com/data/online-valid.csv,,csv,47130,,
2025-12-26T01:14:29.866500,IPsum-l5,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/5.txt,,text,1644,,
2025-12-26T01:14:29.896625,IPsum-l4,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/4.txt,,text,7264,,
2025-12-26T01:14:30.091807,Alienvault-IP-Reputation,csv,https://reputation.alienvault.com/reputation.generic,,csv,609,,
2025-12-26T01:14:31.768759,abuse.ch-SSL,csv,https://sslbl.abuse.ch/blacklist/sslblacklist.csv,,csv,8689,,
2025-12-26T01:14:31.787538,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/457ec6ac-0d47-426b-9e62-aecc062ca991.json,457ec6ac-0d47-426b-9e62-aecc062ca991,json,475,2,2025-12-26T00:03:08
2025-12-26T01:14:38.808759,Phishtank,csv,https://data.phishtank.com/data/online-valid.csv,,csv,46942,,
2025-12-26T01:14:38.861405,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/e726761b-3a6a-4921-8d02-a0af7d90cec5.json,e726761b-3a6a-4921-8d02-a0af7d90cec5,json,1471,2,2025-12-26T00:15:23
2025-12-26T01:14:38.921521,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//8915613f-4d9a-4305-97b0-177bfbd42746.json,8915613f-4d9a-4305-97b0-177bfbd42746,json,1888,2,2025-12-26T00:03:01
2025-12-27T01:12:53.312003,IPsum-l5,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/5.txt,,text,2791,,
2025-12-27T01:12:53.346127,IPsum-l4,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/4.txt,,text,8473,,
2025-12-27T01:12:53.424597,Alienvault-IP-Reputation,csv,https://reputation.alienvault.com/reputation.generic,,csv,609,,
2025-12-27T01:12:55.174911,abuse.ch-SSL,csv,https://sslbl.abuse.ch/blacklist/sslblacklist.csv,,csv,8690,,
2025-12-27T01:12:55.187349,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/cd69c6e9-7c5e-4aa5-8cf8-06581794ad3d.json,cd69c6e9-7c5e-4aa5-8cf8-06581794ad3d,json,410,2,2025-12-27T00:03:06
2025-12-27T01:12:55.210029,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/572f4b58-3d4a-45a6-ba3a-e7b91ee40a12.json,572f4b58-3d4a-45a6-ba3a-e7b91ee40a12,json,1044,2,2025-12-27T00:15:23
2025-12-28T01:22:53.530732,IPsum-l5,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/5.txt,,text,2823,,
2025-12-28T01:22:53.566399,IPsum-l4,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/4.txt,,text,8578,,
2025-12-28T01:22:55.247034,abuse.ch-SSL,csv,https://sslbl.abuse.ch/blacklist/sslblacklist.csv,,csv,8693,,
2025-12-28T01:22:55.339111,Alienvault-IP-Reputation,csv,https://reputation.alienvault.com/reputation.generic,,csv,609,,
2025-12-28T01:22:55.388670,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/19c332a3-5fb6-4a65-a5be-134c14db5a20.json,19c332a3-5fb6-4a65-a5be-134c14db5a20,json,331,2,2025-12-28T00:03:06
2025-12-28T01:22:55.422367,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/6ace02a1-2fe8-476d-a562-49414e95fb34.json,6ace02a1-2fe8-476d-a562-49414e95fb34,json,973,2,2025-12-28T00:15:23
2025-12-28T01:22:55.530324,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//4b090496-a2bc-44fa-a19c-5fabe439978c.json,4b090496-a2bc-44fa-a19c-5fabe439978c,json,3136,2,2025-12-28T00:03:02
2025-12-28T01:22:55.606482,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//660954e0-a66d-48e5-b54b-2d16cd6b5c96.json,660954e0-a66d-48e5-b54b-2d16cd6b5c96,json,2740,2,2025-12-27T00:03:01
2025-12-28T01:23:02.797826,Phishtank,csv,https://data.phishtank.com/data/online-valid.csv,,csv,46758,,
2025-12-29T01:20:30.404180,IPsum-l5,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/5.txt,,text,3000,,
2025-12-29T01:20:30.510264,IPsum-l4,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/4.txt,,text,8663,,
2025-12-29T01:20:30.598504,Alienvault-IP-Reputation,csv,https://reputation.alienvault.com/reputation.generic,,csv,609,,
2025-12-29T01:20:32.278480,abuse.ch-SSL,csv,https://sslbl.abuse.ch/blacklist/sslblacklist.csv,,csv,8697,,
2025-12-29T01:20:32.295917,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/5ae18dc3-5325-4664-b00d-21cd10155b28.json,5ae18dc3-5325-4664-b00d-21cd10155b28,json,474,2,2025-12-29T00:03:06
2025-12-29T01:20:32.360862,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//9af45733-1612-495a-a09d-eb98f1e2d07c.json,9af45733-1612-495a-a09d-eb98f1e2d07c,json,2392,2,2025-12-29T00:03:02
2025-12-29T01:20:32.518111,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/32e2aef0-5e5d-47a7-aacb-631dc577a172.json,32e2aef0-5e5d-47a7-aacb-631dc577a172,json,986,2,2025-12-29T00:15:20
2025-12-29T01:20:40.246236,Phishtank,csv,https://data.phishtank.com/data/online-valid.csv,,csv,46786,,
2025-12-30T01:14:48.856369,IPsum-l5,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/5.txt,,text,3137,,
2025-12-30T01:14:48.896865,IPsum-l4,text,https://raw.githubusercontent.com/stamparm/ipsum/master/levels/4.txt,,text,8479,,
2025-12-30T01:14:48.945913,Alienvault-IP-Reputation,csv,https://reputation.alienvault.com/reputation.generic,,csv,609,,
2025-12-30T01:14:50.622978,abuse.ch-SSL,csv,https://sslbl.abuse.ch/blacklist/sslblacklist.csv,,csv,8702,,
2025-12-30T01:14:50.692708,abuse.ch-URLhasus,misp,https://urlhaus.abuse.ch/downloads/misp/545cc529-52cb-4a0c-8a82-094bbdd33aaa.json,545cc529-52cb-4a0c-8a82-094bbdd33aaa,json,1104,2,2025-12-30T00:15:22
2025-12-30T01:14:57.766373,Phishtank,csv,https://data.phishtank.com/data/online-valid.csv,,csv,46606,,
2025-12-30T01:14:57.791719,abuse.ch,misp,https://threatfox.abuse.ch/downloads/misp/00df263f-c2ee-4350-ad1b-d156f29d9123.json,00df263f-c2ee-4350-ad1b-d156f29d9123,json,352,2,2025-12-30T00:03:06
2025-12-30T01:14:57.881820,abuse.ch-Bazaar,misp,https://bazaar.abuse.ch/downloads/misp//d5d13a40-9969-40a7-8a9b-f82e5bbd97aa.json,d5d13a40-9969-40a7-8a9b-f82e5bbd97aa,json,3312,2,2025-12-30T00:03:02
